# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //volatile/eic/akhil/Rivet.yoda/DstarA/d06-x01-y01
Path=//volatile/eic/akhil/Rivet.yoda/DstarA/d06-x01-y01
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
1.500000e+00	3.500000e+00	2.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	3.500000e+00	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	3.500000e+00	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	3.500000e+00	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	5.500000e+00	2.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	5.500000e+00	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	5.500000e+00	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	5.500000e+00	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	9.000000e+00	2.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	9.000000e+00	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	9.000000e+00	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	9.000000e+00	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	9.000000e+00	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.400000e+01	2.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.400000e+01	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.400000e+01	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.400000e+01	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.400000e+01	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	2.300000e+01	2.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	2.300000e+01	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	2.300000e+01	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	2.300000e+01	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	2.300000e+01	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	4.500000e+01	2.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	4.500000e+01	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	4.500000e+01	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	4.500000e+01	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	4.500000e+01	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	1.000000e+02	2.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	1.000000e+02	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	1.000000e+02	9.000000e-02	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	1.000000e+02	1.600000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	1.000000e+02	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.580000e+02	2.000000e-02	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.580000e+02	3.200000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.580000e+02	2.510000e+02	2.000000e-02	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.580000e+02	2.510000e+02	3.000000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.510000e+02	1.000000e+03	2.000000e-02	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.510000e+02	1.000000e+03	2.600000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO2D

