# BEGIN PLOT
LegendOnly=/DstarA/d01-x01-y01 //volatile/eic/akhil/Rivet.yoda/DstarA/d01-x01-y01
XLabel=$p_\perp(D^*)$ [GeV]
RatioPlotReference=/DstarA/d01-x01-y01
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(D^*)$ [GeV$^{-1}$]
DrawOnly=/DstarA/d01-x01-y01 //volatile/eic/akhil/Rivet.yoda/DstarA/d01-x01-y01
RatioPlot=1
Title=
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D /DstarA/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/DstarA/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+00	1.880000e+00	2.350000e+00	1.865995e-01	1.865995e-01
1.880000e+00	2.280000e+00	2.220000e+00	1.432717e-01	1.432717e-01
2.280000e+00	2.680000e+00	1.980000e+00	1.078873e-01	1.078873e-01
2.680000e+00	3.080000e+00	1.550000e+00	7.894356e-02	7.894356e-02
3.080000e+00	3.500000e+00	1.200000e+00	6.111759e-02	6.111759e-02
3.500000e+00	4.000000e+00	9.290000e-01	4.337545e-02	4.337545e-02
4.000000e+00	4.750000e+00	6.140000e-01	2.830400e-02	2.830400e-02
4.750000e+00	6.000000e+00	3.190000e-01	1.444334e-02	1.444334e-02
6.000000e+00	8.000000e+00	1.150000e-01	6.099338e-03	6.099338e-03
8.000000e+00	1.100000e+01	3.320000e-02	2.173269e-03	2.173269e-03
1.100000e+01	2.000000e+01	3.800000e-03	4.640359e-04	4.640359e-04
# END HISTO1D


# BEGIN HISTO1D //volatile/eic/akhil/Rivet.yoda/DstarA/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//volatile/eic/akhil/Rivet.yoda/DstarA/d01-x01-y01
ScaledBy=3.60745806740904408e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+00	1.880000e+00	4.101111e+00	1.973148e-01	1.973148e-01
1.880000e+00	2.280000e+00	3.598440e+00	1.801473e-01	1.801473e-01
2.280000e+00	2.680000e+00	2.822835e+00	1.595561e-01	1.595561e-01
2.680000e+00	3.080000e+00	2.308773e+00	1.442983e-01	1.442983e-01
3.080000e+00	3.500000e+00	1.863853e+00	1.265266e-01	1.265266e-01
3.500000e+00	4.000000e+00	1.327545e+00	9.786789e-02	9.786789e-02
4.000000e+00	4.750000e+00	8.754099e-01	6.488969e-02	6.488969e-02
4.750000e+00	6.000000e+00	5.079301e-01	3.828667e-02	3.828667e-02
6.000000e+00	8.000000e+00	1.839803e-01	1.821677e-02	1.821677e-02
8.000000e+00	1.100000e+01	4.449197e-02	7.314437e-03	7.314437e-03
1.100000e+01	2.000000e+01	5.611601e-03	1.499764e-03	1.499764e-03
# END HISTO1D

