# BEGIN PLOT
LegendOnly=/DstarA/d02-x01-y01 //volatile/eic/akhil/Rivet.yoda/DstarA/d02-x01-y01
DrawOnly=/DstarA/d02-x01-y01 //volatile/eic/akhil/Rivet.yoda/DstarA/d02-x01-y01
Title=
RatioPlotReference=/DstarA/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$\eta(D^*)$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(D^*)$
Legend=1
# END PLOT

# BEGIN HISTO1D /DstarA/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/DstarA/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.500000e+00	-1.250000e+00	1.360000e+00	9.819351e-02	9.819351e-02
-1.250000e+00	-1.000000e+00	1.520000e+00	9.265768e-02	9.265768e-02
-1.000000e+00	-7.500000e-01	1.590000e+00	9.692481e-02	9.692481e-02
-7.500000e-01	-5.000000e-01	1.790000e+00	9.247563e-02	9.247563e-02
-5.000000e-01	-2.500000e-01	1.830000e+00	9.210192e-02	9.210192e-02
-2.500000e-01	0.000000e+00	1.890000e+00	1.002413e-01	1.002413e-01
0.000000e+00	2.500000e-01	1.860000e+00	9.764557e-02	9.764557e-02
2.500000e-01	5.000000e-01	1.880000e+00	1.011713e-01	1.011713e-01
5.000000e-01	7.500000e-01	1.910000e+00	1.029630e-01	1.029630e-01
7.500000e-01	1.000000e+00	1.920000e+00	1.127581e-01	1.127581e-01
1.000000e+00	1.250000e+00	2.080000e+00	1.283716e-01	1.283716e-01
1.250000e+00	1.500000e+00	1.810000e+00	1.433561e-01	1.433561e-01
# END HISTO1D


# BEGIN HISTO1D //volatile/eic/akhil/Rivet.yoda/DstarA/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//volatile/eic/akhil/Rivet.yoda/DstarA/d02-x01-y01
ScaledBy=3.60745806740904408e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.500000e+00	-1.250000e+00	2.409782e+00	1.864745e-01	1.864745e-01
-1.250000e+00	-1.000000e+00	3.116844e+00	2.120744e-01	2.120744e-01
-1.000000e+00	-7.500000e-01	2.842677e+00	2.025323e-01	2.025323e-01
-7.500000e-01	-5.000000e-01	2.871537e+00	2.035578e-01	2.035578e-01
-5.000000e-01	-2.500000e-01	2.799388e+00	2.009843e-01	2.009843e-01
-2.500000e-01	0.000000e+00	2.943686e+00	2.060992e-01	2.060992e-01
0.000000e+00	2.500000e-01	3.015835e+00	2.086097e-01	2.086097e-01
2.500000e-01	5.000000e-01	3.015835e+00	2.086097e-01	2.086097e-01
5.000000e-01	7.500000e-01	2.510791e+00	1.903426e-01	1.903426e-01
7.500000e-01	1.000000e+00	2.640659e+00	1.952032e-01	1.952032e-01
1.000000e+00	1.250000e+00	2.611800e+00	1.941335e-01	1.941335e-01
1.250000e+00	1.500000e+00	2.597370e+00	1.935965e-01	1.935965e-01
# END HISTO1D

