# BEGIN PLOT
LegendOnly=/DstarA/d04-x01-y01 //volatile/eic/akhil/Rivet.yoda/DstarA/d04-x01-y01
XLabel=$Q^2$ [GeV$^2$]
RatioPlotReference=/DstarA/d04-x01-y01
YLabel=$\mathrm{d}\sigma/\mathrm{d}Q^2$ [GeV$^{-2}$]
DrawOnly=/DstarA/d04-x01-y01 //volatile/eic/akhil/Rivet.yoda/DstarA/d04-x01-y01
RatioPlot=1
Title=
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D /DstarA/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/DstarA/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	8.000000e+00	4.740000e-01	3.035081e-02	3.035081e-02
8.000000e+00	1.000000e+01	2.960000e-01	1.698586e-02	1.698586e-02
1.000000e+01	1.300000e+01	2.120000e-01	1.169656e-02	1.169656e-02
1.300000e+01	1.900000e+01	1.240000e-01	6.160192e-03	6.160192e-03
1.900000e+01	2.800000e+01	7.260000e-02	3.645214e-03	3.645214e-03
2.800000e+01	4.000000e+01	3.970000e-02	2.163195e-03	2.163195e-03
4.000000e+01	6.000000e+01	1.640000e-02	1.055859e-03	1.055859e-03
6.000000e+01	1.000000e+02	7.450000e-03	4.842500e-04	4.842500e-04
1.000000e+02	1.580000e+02	2.080000e-03	1.859594e-04	1.859594e-04
1.580000e+02	2.510000e+02	8.820000e-04	8.023777e-05	8.023777e-05
2.510000e+02	1.000000e+03	7.500000e-05	1.030779e-05	1.030779e-05
# END HISTO1D


# BEGIN HISTO1D //volatile/eic/akhil/Rivet.yoda/DstarA/d04-x01-y01
LineColor=red
LineStyle=solid
Path=//volatile/eic/akhil/Rivet.yoda/DstarA/d04-x01-y01
ScaledBy=3.60745806740904408e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	8.000000e+00	5.880157e-01	2.659099e-02	2.659099e-02
8.000000e+00	1.000000e+01	4.202689e-01	2.753273e-02	2.753273e-02
1.000000e+01	1.300000e+01	2.825842e-01	1.843376e-02	1.843376e-02
1.300000e+01	1.900000e+01	2.140425e-01	1.134423e-02	1.134423e-02
1.900000e+01	2.800000e+01	1.138353e-01	6.754885e-03	6.754885e-03
2.800000e+01	4.000000e+01	7.395289e-02	4.715064e-03	4.715064e-03
4.000000e+01	6.000000e+01	3.445123e-02	2.492803e-03	2.492803e-03
6.000000e+01	1.000000e+02	1.271629e-02	1.070905e-03	1.070905e-03
1.000000e+02	1.580000e+02	4.789212e-03	5.457813e-04	5.457813e-04
1.580000e+02	2.510000e+02	1.124906e-03	2.088899e-04	2.088899e-04
2.510000e+02	1.000000e+03	1.541238e-04	2.724548e-05	2.724548e-05
# END HISTO1D

